Clicks,Revenue_Generated
3522,88575.31
1718,87003.62
4691,96003.99
3783,63570.59
4579,15747.78
2199,51709.27
1953,70509.53
4653,73888.82
3024,32035.16
4126,61199.36
3605,12690.25
1973,
1490,95524.74
151,46094.93
2535,66170.81
,19084.76
3548,74590.64
2644,22344.04
4791,67235.58
2507,88233.39
210,87645.36
3254,31820.05
4503,24854.66
148,31185.58
456,97847.95
3832,53577
3312,41942.1
621,82540.36
900,15186.42
4547,23384.8
3249,95950.46
2488,40775.57
1019,31529.11
392,1314.34
3686,40632.7
3976,57426.9
933,6155.1
4301,61732.53
23,34099.04
624,90041.29
303,96021.3
2491,8051.6
2614,66631.05
3779,5966.5
3243,1340.35
3851,89759.93
2692,43917.75
642,29580.31
40,29196.56
721,47341.14
844,3999.72
2005,76400.27
4033,28275.69
3058,66754.66
3193,41597.42
1947,94003.05
1232,1674.42
1883,29475.47
932,49699.04
3260,68057.33
3418,16629.78
380,69424.5
3740,8681.49
1264,72647.72
3357,49429.66
2063,40609.63
2305,56355.91
4142,15872.92
2528,98922.67
4785,16362
4636,65809.34
2221,88672.55
3610,87907.42
1050,98539.33
2448,71149.45
2128,21649.81
4316,7401.75
1436,7762.69
1046,99302.13
2794,14961.81
3952,54911.34
4019,65761.44
3921,83283.12
1452,85014.98
2248,16137.66
211,34130.77
1820,38375.11
2639,63453.85
2386,85328.2
130,57796.15
2247,85395.56
727,22261.53
986,37988.43
285,91496.88
1093,63537.08
1586,99341
4915,64054.46
3283,66743.25
2657,33597.23
1210,22588.78
971,53220.84
4288,42624.52
2833,53319.32
2799,31688.99
2012,31653.3
2260,98159.08
2970,59245.16
2535,29255.04
2383,96850.53
,65032.82
,53723.82
,44228.02
,38198.52
,32346.98
,2813.32
1501,97171.92
2702,62639.19
4475,7200.15
4955,29029.17
3940,94311.17
849,80113.91
3410,28799.08
1662,74581.76
2208,49897.79
4796,58812.13
3934,25828.56
955,32753.6
3129,32767.94
120,25655.98
3746,63982.11
4507,67239.56
563,67521.79
3289,20782.28
1951,73203.93
542,5671.98
1450,20400.42
2642,38332.01
4260,37424.28
1065,95520.99
922,36250.8
1884,6919.9
4907,87786.1
825,20054.47
3401,83530.73
4718,39165.05
2872,79856.05
2711,30872.04
4689,60947.69
1733,23673.4
4167,1473.97
4500,24545.3
2504,
3184,
1879,
776,
1541,
1915,
963,93740.94
4845,72523.99
2443,84317.49
4080,19260.57
226,23543.83
4251,14113.45
456,83607.31
105,7632.83
2844,64526.31
1115,97166.57
231,83579.21
2082,13854.99
1512,59836.19
2271,3103.19
2269,66301.08
2612,62168.14
1550,94657.47
2521,83618.87
2396,25675.93
4465,58371.28
1675,62894.91
4109,90273.27
693,78896.18
1410,56592.87
2481,10247.51
2096,50169.27
1362,46682.43
1533,16892.72
4199,78328.71
1955,68519.01
1534,17404.63
4309,94740.61
3436,86389.16
4466,23162.12
497,1765.75
4433,36688.37
1154,15620.41
1495,90145.82
692,46045.68
,95825.22
4921,97655.83
1681,55095.67
2623,56706.83
3433,37102.01
646,23673.95
1369,83426.63
3800,51579.78
784,9473.72
2518,75845.71
2301,55380.64
806,81912.95
4048,1298.63
4786,1271.39
3170,73889.86
1997,79670.63
2803,15226.73
1161,50461.56
1160,30190.11
,3825.73
2610,17900.75
4649,7329.74
2772,85440.72
2441,
885,70324.24
2728,8494.98
1386,6852.27
978,39230.94
1049,73147.58
422,86640.67
2644,71669.95
2467,24840.66
968,44537.44
2316,48168.24
299,90003.36
1674,96597.64
235,24006.15
2411,28797.9
4718,6664.3
4739,9196.97
3912,89270.59
4140,90884.06
1173,71102.26
1835,39711.57
660,59553.67
3495,31565.52
336,47643.62
697,69703.5
3013,37300.6
3648,78978.02
392,25319.69
2088,14070.9
3167,87279.74
1245,25107.25
4383,10151.27
3548,82150.58
1363,20394.01
3975,98453.29
4871,55025.15
2444,48544.69
782,43923.8
3747,84094.61
935,74697.46
3286,9871.81
2615,17230.42
4985,12751.9
1769,34733.19
3119,9458.82
4861,93006.52
1428,42338.64
3476,14352.5
1680,55148.49
3506,34150.18
166,48649.89
3369,97395.01
1528,11163.2
3551,70755.79
3738,95241.21
3262,49744.74
4364,33088.36
754,63120.89
2367,25327.75
1589,76984.31
950,77796.9
1343,4881.06
2178,91343.05
705,70190.32
4275,2497.74
2428,38938.2
1411,74904.96
1988,41759.93
1423,81935.61
1817,65963.99
912,97674.48
843,94479.72
3728,65209.5
3598,44508.53
2995,85435.2
2387,57450.79
844,35394.54
333,80094.74
2094,40131
2304,97193.66
163,19835.86
526,32354.56
3283,53222.79
960,57423.06
2610,57043.53
1978,49105.49
250,56604.57
3291,77788.09
1282,75200.01
2440,15791.31
4707,31251.02
306,20264.44
1966,72318.73
705,62761.99
2289,80551.39
4772,34382.61
4983,66540
3609,46158.46
4831,37019.51
4423,68984.27
1472,52280.63
2780,99457.62
2237,90553.83
3343,17690.6
1064,69547.86
543,21892.89
2569,33977.08
4821,29622.88
643,5589.95
3447,77953.96
4036,71883.53
1126,11671.22
513,61262.04
707,51840.58
4192,45968.06
4417,44678.11
4852,17485.07
57,34402.38
784,78134.73
3945,12357.55
4013,87551.21
2983,54311.4
3553,33196.54
1636,67391.3
2152,69223.48
4791,77397.76
3695,30710.51
2286,11191.15
1962,12471.77
941,37755.26
997,12110.93
3828,66846.01
1352,69181.36
230,1654.73
1933,96741.6
2447,71136.05
4716,87933.52
1125,43766.28
2495,92717.01
392,84657.62
296,75027.19
4857,7931.6
4389,30725.68
1297,1911.79
991,65786.53
4616,11553.17
1847,19071.19
19,39140.43
2444,21767.75
4360,33957.34
4929,45758.54
16,88441.76
2378,36090.66
3613,30422.81
4359,30039.16
2811,31155.43
3820,10089.98
1816,44201.16
1018,60037.9
3911,82161.43
4426,90085.45
144,23531.7
2789,68883.88
2451,40772.52
3819,91299.14
4162,20902.13
1043,17506.89
1379,41309.82
3835,8204.69
360,43033.94
488,54157.92
2309,42875.3
660,75687.68
3147,71618.52
127,52294.8
3399,52821.07
1563,41353.2
4830,42037.25
931,59577.37
4682,98738.53
4131,27345.37
1426,20072.91
3369,54811.76
3160,80294.71
3471,65510.18
2937,65647.45
3537,9461.19
17,86287.86
168,8242.75
2136,42109.98
774,18147.99
1026,5901.17
2111,66433.34
238,17014.06
2224,64869.37
896,82377.74
2520,57740.49
2055,10748.45
3671,92537.37
3670,46734.25
2369,66779.06
2402,45298.07
2128,18629.91
22,24470.21
1115,92529.42
1240,14795.51
486,24094.13
2005,21188.65
1548,83226.83
2787,75437.88
4721,61862.58
3344,79065.46
4108,75520.94
4420,44708.25
1346,40596.53
2361,82748.71
2330,78898.97
4319,67609.68
2175,35858.68
1113,61574.61
2226,32776.41
687,36790.42
4512,87765.86
1160,41889.1
712,90224.62
3446,8161.04
4771,41176.23
2041,86784.2
2685,13289.6
4514,37260.86
2352,5913.32
4974,53588.56
2447,15227
853,68450.89
1913,65257.12
935,39350.03
3764,70959.12
2633,18912.33
379,91085.37
767,59533.39
2715,36205.12
3313,24133.28
2361,6772.92
2222,86866.4
2047,70560.72
4279,57751.12
1595,24702.95
670,11958.31
834,35467.08
1835,16815.64
458,37537.55
248,60288.67
3489,77279.36
4067,23871.32
4851,94440.58
3483,73867.2
4076,67051.74
1168,39366
4547,41352.15
2073,8287.36
661,42554.38
865,51338.4
4114,64310.91
4941,26523.1
1169,62145.59
2656,46937.55
2545,79346.1
4866,2307.87
3319,76539.11
1438,28479.64
1931,79654.16
3852,88368.66
2367,48222.76
3705,97756.76
4361,61293.93
4699,32909.03
1211,70267.31
3686,14129.83
176,66503.36
4281,67517.51
4720,7458.61
758,10787.44
2571,19450.96
1961,49805.63
3568,3178.9
2865,92476.21
933,93172.12
2291,14050.04
4806,32660.68
2845,23158.38
3641,45061.44
2753,87492.4
925,95581.13
4556,54878.75
3776,98735.66
1606,30418.14
4630,34046.49
1218,29251.05
2899,89953.19
2838,41977.03
3273,62037.55
1197,88639.81
1354,44570.07
4016,63558.67
1224,95975.14
2247,69969.86
1546,57449.46
1973,40519.98
3420,85255.43
3680,91301.8
910,32607.8
4296,79448.64
3908,23510.81
540,56772.79
218,32113.21
2277,20544.04
44,90448.02
4625,43975.65
2179,75481.46
2237,86116.2
1839,50694.21
3429,78378.52
3401,80511.09
1907,52804.29
2937,79805.46
2301,16494.92
2524,67714.09
2780,4231.75
3299,47056.9
223,24525
35,45063.04
2000,11752.13
4881,20423.99
3248,49157.56
3310,27000.69
1895,5706.24
1659,57864.69
518,26378.88
3448,32981.69
4967,59621.22
795,28815.47
3442,12959.19
4799,9039.53
2608,79164.22
3524,15762.74
2766,95854.73
1943,22232.88
3504,48097.21
1511,41265.21
1053,50563.13
1150,99569.7
282,89591.28
219,30377.65
2073,96211.65
828,95832.06
1717,73465.01
4002,8748.8
4316,26775.41
625,10795.73
262,7416.15
382,12126.72
1675,32708.97
2334,52556.14
2684,29142.66
2177,47917.77
4439,89276.65
4716,31144.06
4089,13691.54
290,31266.62
3569,63875.46
3478,15315.1
160,1255.33
3885,19181.25
618,90974.32
4490,85208.6
1661,48310.26
4670,1361.6
1382,95987.2
265,55405.61
2181,96502.63
1110,31031.52
2503,11207.04
570,51873.75
3496,65983.9
1591,80095.53
3704,78809.04
2280,58289.94
2250,76437.05
2395,18673.57
439,98929.17
4623,78022.26
4872,60790.66
232,24018.4
2907,90733.14
4500,3206.78
1913,30215.05
3575,40624.31
878,26789.66
1385,60785.55
2498,48611.31
3525,41456.94
791,22178.95
1977,69852.24
774,3679.44
215,53658.7
4357,39859.25
260,26117.05
2269,13559.8
1510,66242.84
3354,70981.95
4119,14201.2
151,4268.83
3607,86782.74
765,56000.92
4093,31809.54
162,30426.59
4702,68190.59
1217,68012.76
3801,27079.07
500,10573.94
2430,32571.39
310,14656.09
4103,28339.1
2695,66302.8
2070,22588.71
618,11521.24
2034,35043.93
1507,91582.43
1557,81063.64
2998,29606.62
1564,10225.56
3085,61870.4
4448,42246.12
4149,65901.36
1165,97046.83
4343,44434.28
992,35023.1
1188,75621.67
1707,11112.35
3278,91307.14
3714,57522.38
1381,52012.2
2877,86795.83
4742,49853.18
4682,67473.89
2437,40477.4
4292,41974.23
860,82318.96
538,56730.84
1658,23855.32
3245,56025.11
1375,83303.97
1316,26450.22
4309,77994.96
3505,29794.59
1743,67872.17
1193,84826.89
2562,48521.63
415,63997.34
1792,56511.2
1279,21882.81
2052,28369.52
3060,52267.78
161,26901.6
1366,70312.61
3951,84513.19
868,4242.41
4844,35937.03
4851,14583.15
3413,38661.93
3890,52707.13
720,44362.76
1756,78640.42
4342,15747.94
4657,37317.56
475,44941.43
209,1676.84
4735,44973.14
2255,69695.25
1595,24587.49
4681,96265.03
615,19928.5
4102,26869.95
1919,38425.25
247,62602.24
2122,90163.3
1812,7948.32
3416,30418.02
3038,41623.6
3856,46810.71
2134,25101.08
334,52609.16
237,55133.42
1851,77640.46
2735,69080.57
4601,19775.2
3321,14410.92
405,29510.88
33,56069.33
3749,5595.23
2221,20913.14
177,85159.16
3997,36273.09
3743,6217.57
3105,64949.53
4075,80516.45
3092,20313.69
2902,30152.98
4105,87054.07
827,3701.33
1628,13443.44
1533,92681.88
1581,21309.25
1619,14433.38
2154,86240.09
1951,35060.61
4567,7433.87
2593,91471.74
1741,21582.34
3995,76315.33
3846,56566.67
1600,23067.86
1812,37486.46
2417,45917.17
4116,89979.11
1586,75787.29
1379,7042.94
1996,49845.93
2457,84785.13
3451,79142.79
1001,38390.35
3283,24031.4
3326,65393.25
4895,12869.97
1825,34844.59
4695,16173.9
1907,44621.49
1832,21563.75
3551,19567.28
775,31406.9
1099,34900.67
2417,55245.15
3951,20080.64
722,62126.2
4613,84940.26
1153,46597.61
2757,68678.94
39,54404.93
1889,48280.8
508,1020.84
2546,47260.81
2155,80091.36
27,55927.97
3945,60037.03
3783,95644.99
2077,72088.78
2596,97079.24
3142,83199.09
3368,30713.38
1425,20019.8
369,32759.08
1190,23659.81
1995,4701.6
619,91434.84
2164,73281.56
599,13369.37
3566,23461.16
2446,8417.94
3974,36819.88
3529,62210.27
149,14128.05
4850,44019.95
2980,4435.09
2810,72762.16
57,16964.93
810,41166.97
4389,9272.09
498,10469.77
4567,12473.6
616,14968.78
792,18085.71
2826,25148.09
4689,83778.06
2027,8892.05
4704,35705.49
1004,36313.62
2277,83620.7
1337,45280.51
3929,28272.79
1502,12576.08
3577,72617.59
223,5952.14
1648,22726.72
1873,27937.21
3635,63133.49
2013,54290.46
3367,16903.87
1415,87529.43
3112,92463.56
1349,76169.42
611,12635.73
3598,83810.18
750,4809.32
281,80017.65
1657,58366.87
1283,89049.69
2741,2389.5
1481,34782.62
1816,4676.95
1150,25861.56
1655,69913.96
2061,13596.59
2430,37633.47
3725,8368.2
3744,86792.56
818,92409.79
1685,15450.43
3696,80154.28
3458,57996.41
2976,81480.91
1593,83665.56
2441,89316.5
2086,39815.13
4121,93731.98
2417,76094.1
3175,
1054,
2758,
1501,
744,
1218,
3808,
507,
2177,11814.53
1153,23416.13
3925,67379.36
2630,87330.92
1665,86500.98
3160,27210.44
2834,45627.58
1765,39475.28
2174,3439.81
996,3200.02
1544,18802.62
3315,43452.79
3096,27594.69
76,68752.71
3907,81071.42
109,46234.55
4568,81196.46
500,98800.06
3780,52723.64
3427,53160.15
576,35550.33
2652,37239.73
638,
4931,
3562,
2101,
3170,
2629,
2062,16847.57
3989,77927.54
3517,39118.61
3575,15846.68
1015,25560.55
2428,25709.02
629,31577.9
2293,22054.23
2140,35622.51
4034,47407.01
1245,55920.29
3833,96125.94
4017,13283.39
540,46384.11
4939,66669.47
1613,73957.1
356,68954.09
2406,66200.66
1798,48852.5
1501,44520.23
4369,80521.39
4324,96265.76
2776,21232.37
1596,50470.96
4421,72651.54
832,28805.73
2553,83220.54
184,71807.58
3103,34853.3
2090,7343.98
29,98895.6
217,98825.71
2543,78169.47
963,99052.53
606,66381.74
3410,38932.18
1041,45267.91
3631,53160.41
3479,63545.16
4724,9095.86
1891,50245.12
3715,53057.31
2744,93764.61
4369,49070.38
4218,31108.09
4458,13302.9
4833,28682.6
839,10317.73
435,7254.69
4755,66443.06
1304,57277.52
1916,4125.98
746,62359.43
2728,3402.79
567,2258.27
2055,47415.38
2629,4236.32
1638,48765.29
2866,36348.26
4684,19601.76
4394,68570.64
487,21393.18
1092,24571.91
1701,71939.88
4139,52743.89
4996,63658.08
4121,58391.77
3121,98117.79
1180,49181.38
768,47548.74
1203,70489.43
3214,75981.45
673,73491.87
1240,66846.83
509,47408.07
4887,32025.87
4280,54378.63
2414,31653.85
4622,87865.98
2001,48521.95
3751,33431.04
4915,54848
1469,48166.88
3974,89761.36
1052,76891.52
4925,28841.35
4076,72903.13
2926,13171.83
2246,9771.66
1582,98163.04
4551,75440.39
4810,49463
4023,40781.57
4575,15377.59
1172,70284.58
1655,44240.13
181,13140.75
4951,69695.17
73,50676.76
1052,56966.99
3612,25139.5
661,90360.38
1635,51790.23
4448,62755.02
4748,22422.58
3011,98364.8
1391,6035.82
2653,41202.03
227,76075.77
3973,76160.22
1828,51634.31
3811,57243.07
1119,42132.11
156,81111.39
4553,17350.83
2059,4762.61
1270,49296.77
1661,37505.67
3129,24550.32
2264,96988.62
3790,55387.87
2479,27391.15
4967,14527.33
2706,97487.12
4271,77760.91
2963,28100.18
1699,54068.39
1974,21478.56
3587,96063.5
4359,71323.97
4480,15689.75
3597,68064.77
222,71065.48
3486,43752.75
1588,8539.4
2361,30369.9
4372,64950.15
135,6491.46
2123,63810.59
1765,64128.79
4625,85222.06
2834,92922.33
3998,24058.03
3602,56593.97
399,77954.75
4444,96751.71
1175,35126
3785,33724.94
690,29496.89
4905,60582.83
3468,56667.5
1115,94662.57
3079,57682.79
1262,6546.78
254,99810.92
536,46490.17
3275,26558.67
3987,6092.13
4785,7233.07
4098,66963.92
1220,15066.57
2802,47498.07
998,87079.54
3916,90288.15
3172,43439.06
4115,26231.36
2814,31895.02
543,58703.99
222,5887.79
3470,27128.69
2707,63887.89
4552,44623.65
4932,45307.83
60,32592.5
887,66846.24
465,24163.71
4107,54252.98
159,18367.22
1136,13113.93
4172,33622.78
3485,96423.67
4739,88882.16
4298,16770.44
4536,69630.33
3162,15210.11
3993,22614.32
2011,44406.01
3472,69578.66
2647,16388.13
681,16617.93
1589,77233.45
2758,99610.05
16,67888.3
1814,2482.06
1938,28652.97
641,44936.96
830,75399.44
2407,55011.49
2660,11743.55
1177,42388
3669,11027.76
4813,88765.74
3904,87980.04
3322,73340.28
4059,7449.5
224,66573.53
631,89659.98
3459,49765.19
943,59603.87
1200,68692.13
4869,86825.36
3119,1459.28
739,38423.78
3473,14002.48
4124,94323.81
2228,40207.49
4786,68036.53
2554,6522.97
2841,37212.89
1077,73473.52
2970,50786.79
4006,29138.7
2545,84895.25
3077,51969.18
2325,70964.59
1301,52506.04
2798,34321.16
3842,64018.69
1241,80556.82
1098,10717.23
1627,78200.05
1510,21769.1
3479,65852.79
331,31042.67
502,41888.14
2078,87428.8
4820,8006.43
3937,63387.62
1987,25164.89
2848,94692.1
4852,77957.57
1993,5445.3
1780,4633.23
1818,11001.88
3137,2047.9
24,72213.02
3952,23374.6
3151,85439.7
3638,90147.07
4613,6110.09
2554,33964.6
3297,96204.86
2218,21105.2
113,27760.86
1123,77911.88
3592,65211.81
3620,8132.15
480,71851.7
3176,5050.12
2746,9186.71
4790,28968.36
3065,76890.17
4978,57647.17
1012,48219.01
706,9354
728,39451.57
3691,98608.81
4317,16397.37
1092,26571.49
1655,96349
329,53702.79
3281,94387.64
870,29657.92
1630,69678.34
4477,61686.06
3908,68508.48
3997,81830.45
473,90089.84
59,85028.28
1485,29180.26
4119,22775.71
882,36867.66
2097,76877.04
4107,93691.67
1065,10029.9
1278,36876.12
3895,86821.61
355,41014.22
4383,30222.64
4633,14587.27
3222,50665.38
1214,53109.42
2908,20425.78
514,89028.9
1805,81317.86
1351,81170.12
2046,71921.89
4110,74481.54
1526,91328.14
4246,3098.36
2139,89003.18
2042,30395.75
2337,24753.65
3007,59989.31
1116,4693.68
857,14906.23
4431,38525.18
2839,56894.65
3414,34495.46
703,42192.9
4270,72365.11
2905,58034.78
3151,67358.92
2944,31193
2639,3821.98
4675,50774.25
3610,5208.8
547,70919.49
4665,7980.12
2098,62153.02
4332,93220.98
612,23761.31
23,14975.82
281,73437.22
4850,34455.93
1177,8661.96
1823,62475.7
523,13672.67
1568,23578.53
3802,57957.81
791,74845.08
3119,84511.22
453,85967.5
1179,37123.55
3786,22047.15
42,66081.12
3247,23101.49
2915,54323.65
3209,77675.03
3242,41473.73
2727,48672.47
4561,25211.86
642,10610.96
28,97632.46
2320,93985.35
3129,97949.22
3569,26153.49
1269,63013.49
1359,47309.3
1273,98281.38
3322,9463.66
740,91202.02
4321,30197.65
1111,77296.87
1308,73112.34
1829,69007.2
4240,83562.07
4974,13253.27
3208,52679.45
1587,97629.81
4122,9649.19
3594,3999.12
2229,9409.91
315,38717.58
196,95015.53
1457,42179.94
4840,25275.26
882,62895.18
2055,94650.7
3853,37931.93
4185,51519.3
709,45389.03
1566,17370.96
599,2211.53
4403,3297.82
1832,23990.66
2627,81388.36
623,93968.7
4581,54358.6
4498,57330.01
2670,12438.98
360,97149.07
522,29228.94
4328,38666.19
4046,14374.79
1851,15855.74
819,42530.6
2009,74769.37
2268,5920.15
3690,80734.82
1345,73267.32
569,99557.97
4235,10673.92
4473,40183.02
4453,88647.31
2933,30674.31
2611,26392.3
2055,99590.2
2448,21270.81
4481,47285.61
3440,77939.55
2511,86783.69
796,35953.92
4681,39692.4
1060,84129.26
3377,85126.77
4976,73637.38
1925,46668.58
4312,21058.78
3834,33381.38
2760,42299.86
4778,62728.26
4453,14887.93
2890,10389.42
3305,71180.46
4250,49564.78
492,22905.91
4577,7511.45
515,47984.48
842,60908.07
2154,87681.41
1991,29016.98
4498,29931.84
1925,11484.55
4891,22607.37
1825,58524.34
1606,85055.96
923,75024.64
3315,16813.25
1837,75642.29
3666,98773.27
2026,78191.69
1803,90852.55
281,79088.64
4796,23712.33
2252,34766.94
4258,10080.95
1887,56842.32
1408,69191.5
904,80137.08
2097,68952.9
2808,5476.42
3922,27441.11
753,29243.98
4740,97555.02
824,20587.56
1992,88829.84
1422,81383.26
4043,97894.78
1245,68571.43
2279,32315.87
2268,50077.75
3297,62150.27
3978,84309.59
3127,46906.49
384,21455.18
3689,5670.73
1045,42047.88
4857,20055.06
3852,54762.33
4015,75124.06
2999,59591.83
1018,95206.45
2933,61869.82
2755,33194.34
1460,15415.62
3108,55482.94
461,82314.05
860,38092.86
792,93153.76
3962,51819.1
2310,35475.29
1013,78911.9
3016,28198.29
697,58510.88
1087,89687.37
963,96574.88
4128,80913.37
4313,20434.17
3876,13825.02
1032,57673.64
187,23618.85
2549,67977.8
1490,54211.42
10,13421.62
520,98374.83
1324,79864.21
1202,76266.59
799,57442.93
2710,84853.43
1350,73992.4
3970,80441.87
2643,49452.52
3338,26967.82
964,87236.12
467,74149.27
3890,10666.41
1332,24904.77
2525,38059.11
3499,99329.17
1901,32082.7
3687,10918.61
3941,18871.42
830,51051.61
3296,84700.49
2559,77026.15
949,20098.67
1839,87722.54
4644,77424.61
4094,4036.5
3823,1622.91
4322,23674.78
2357,83763.97
4653,7565.01
2428,25036.63
3877,97948.84
3619,85602.7
2825,55695.69
717,50431.94
2275,10831.69
574,40643.71
534,91693.73
4690,14223.54
3047,57411.23
2949,95732.24
3188,75920.16
566,13202.39
1758,14469.36
492,74177.77
4520,33425.5
3659,36935.4
2656,79750.86
4286,33736.42
2600,60227.44
4992,74504.26
219,34163.84
1721,35125.38
3658,90161.33
3594,34348.18
1027,14655.69
2216,87734.21
764,76785.77
1213,92636.88
1226,21602.63
1442,91720.85
3699,2026.73
1271,35081.31
3586,87135.58
2345,71008.81
4909,99232.94
4464,66315.32
529,43146.64
137,99999.47
3529,10647.98
4344,24602.59
3962,28448.2
2919,40667.52
3030,37090.3
376,62857.84
2479,20309.68
3598,43390.06
223,29761.74
2973,87432.14
1402,41469.28
4100,46769.43
2592,98532.07
3777,6173.47
3130,79439.76
729,88361.82
4199,47967.17
521,80047.19
327,68067.08
3325,34866.51
1459,72421.54
2881,74045.34
3737,52949.54
1806,57830.27
2141,45401.83
982,21571.16
1546,64557.2
3633,9511.26
3258,56744.92
4572,99303.65
190,44118.24
324,51820.52
3778,53387.74
2772,49325.85
912,86077.67
3050,14936.49
4422,62222.77
1387,16377.28
3929,36867.26
178,21138.93
714,55980.43
1367,91282.48
2950,42163.68
362,98682.81
1712,68828.72
666,51378.21
1573,2514.79
259,54539.52
1568,38630.63
2155,7426.37
167,31493.81
1929,35251.51
2636,66374.23
1729,71367.21
1566,39452.06
4774,66776.26
4495,82611.09
1100,73901.31
4038,35043.5
3736,17599.84
736,82975.07
4765,60042.44
2754,36072.73
3476,86777.9
4999,72732.08
2111,94646.94
74,22256.91
2045,53098.38
4449,70355.29
4751,45835.69
1542,7310.69
1465,88225.8
3747,63198.31
4942,78417.14
2088,42274.62
4823,70362.61
966,36985.22
4671,72165.99
809,1799.53
4686,89080.92
2743,81600.97
4088,4181.57
1187,88239.27
187,96931.1
2469,6167.9
4925,22550.77
1605,49987.6
464,41787.77
1377,22795.12
1824,84583.99
2034,41524.89
2199,88079.82
4261,62838.36
3789,97380.21
1335,8539.91
574,91002.69
2885,51489.78
1515,38492.93
2206,84479.94
3942,5469.16
3997,25704.02
3535,91519.58
4294,9630.8
451,18505.29
3675,41569.24
2619,22925.33
1694,49395.33
913,85659.03
4721,25176.23
1239,7801.36
986,27505.19
3721,76082.13
2478,32765.72
3208,92442.9
3929,61406.79
1573,13622.76
2744,25328.11
157,36869.9
1586,55106.15
4677,13938.78
432,80494.72
1483,75706.67
2893,98654.59
3524,97387.52
537,25463.47
1633,86936.55
461,87057.66
3984,65711.02
272,4302.01
2371,40474.41
870,32353.97
3397,72972.09
379,33854.63
2111,96489.92
3988,64788.16
2171,38941.73
3570,57503
4503,35707.24
4953,26058.11
180,28069.65
3278,47637.93
651,40369.99
793,21553.76
4541,69324.55
1177,39847.54
2992,59033.27
231,2266.45
2358,87577.51
1535,88697.36
1035,19109.58
1743,84071.01
524,59782.83
4387,87017.13
2000,16633.39
4357,59690.07
3943,79580.7
4808,56501.99
3003,69659.71
342,25130.08
3760,15616.96
4978,61234.55
961,51202.53
4596,38388.38
799,19283.08
4371,28824.08
4551,20545.92
462,41558.25
660,90608.3
1549,44614.16
1327,75292.06
3221,87055.74
4006,84881.97
1383,18633.72
1520,62210.73
2244,35185.06
2072,26352.02
626,30414.98
2332,49874.58
2311,1069.18
3516,28203.68
3361,18435.97
4882,96045.89
3053,71975.23
42,52942.9
3353,8108.45
736,85900.94
2001,73575.49
640,90867.28
4312,1641.86
3104,4773.82
625,93638.01
326,77553.57
